Datetime,Avg_Temperature,Avg_Humidity,Avg_Soil_Moisture,Light,ET0_Blaney_Criddle,Month,p,ETC
2024-06-10,0.5283985102420857,0.5892857142857143,0.5663377192982455,0.06330856367537548,2.390488361266294,6,0.29,1.673341852886406
2024-06-11,0.37337057728119194,0.3763413816230718,0.20285087719298237,0.06980862678278428,2.3698076350093107,6,0.29,1.6588653445065173
2024-06-12,0.21345437616387344,0.14176727028839697,0.5449561403508771,0.06490991417392399,2.3484748137802605,6,0.29,1.6439323696461823
2024-06-13,0.15502793296089393,0.3537055667337357,0.16008771929824553,0.06382131137195504,2.340680726256983,6,0.29,1.638476508379888
2024-06-14,0.1694599627560522,0.7442152917505029,0.6162280701754385,0.05665862047204339,2.3426059590316575,6,0.29,1.6398241713221602
2024-06-15,0.3866387337057729,0.9256371562709592,0.23135964912280693,0.08767196768900666,2.37157760707635,6,0.29,1.6601043249534448
2024-06-16,0.5679702048417133,0.8501006036217303,0.5663377192982455,0.09020020825444904,2.3957672253258844,6,0.29,1.677037057728119
2024-06-17,0.38640595903165736,0.3995640509725016,0.20285087719298237,0.0577984980436703,2.371546554934823,6,0.29,1.660082588454376
2024-06-18,0.14175977653631291,0.07889000670690806,0.5449561403508771,0.08182664394799948,2.338910754189944,6,0.29,1.6372375279329607
2024-06-19,0.034683426443203,0.30902079141515754,0.16008771929824553,0.08194497033951784,2.3246267690875233,6,0.29,1.6272387383612663
2024-06-20,0.1177839851024209,0.6218142186452046,0.6162280701754385,0.08405906853464595,2.335712383612663,6,0.29,1.634998668528864
2024-06-21,0.48370577281191823,0.687709590878605,0.23135964912280693,0.047799917960368525,2.3845263500931098,6,0.29,1.6691684450651767
2024-06-22,0.6610800744878959,0.6260060362173038,0.37390350877192974,0.0706290230973116,2.408188081936685,6,0.29,1.6857316573556793
2024-06-23,0.5498137802607078,0.32972837022132795,0.38103070175438586,0.057601287391139705,2.3933451582867784,6,0.29,1.6753416108007448
2024-06-24,0.4175977653631286,0.11351441985244792,0.338267543859649,0.07021488072699732,2.375707541899441,6,0.29,1.6629952793296088
2024-06-25,0.2455772811918064,0.26182092555331987,0.40953947368421045,0.0774170137574151,2.352760009310987,6,0.29,1.646932006517691
2024-06-26,0.2425512104283055,0.47476525821596244,0.6392543859649121,0.07198188817367156,2.3523563314711358,6,0.29,1.6466494320297949
2024-06-27,0.5076815642458102,0.7303822937625754,0.5740131578947367,0.07077890319323486,2.387724720670391,6,0.29,1.6714073044692734
2024-06-28,0.6824953445065178,0.7964453386988598,0.4665570175438596,0.06283131389625139,2.4110448789571692,6,0.29,1.6877314152700185
2024-06-29,0.5388733705772814,0.4917840375586853,0.5021929824561403,0.09722090748453865,2.391885707635009,6,0.29,1.6743199953445063
2024-06-30,0.37383612662942284,0.40903755868544595,0.338267543859649,0.10003313138962511,2.3698697392923647,6,0.29,1.6589088175046551
2024-07-01,0.21391992551210434,0.3614185110663984,0.28124999999999994,0.06409346207244729,2.348536918063315,7,0.29,1.6439758426443203
2024-07-02,0.22835195530726263,0.45045271629778666,0.5307017543859648,0.09074450965543351,2.3504621508379886,7,0.29,1.645323505586592
2024-07-03,0.2597765363128492,0.7261904761904762,0.3168859649122806,0.09088255711220494,2.354654189944134,7,0.29,1.6482579329608935
2024-07-04,0.17341713221601496,0.7683601609657947,0.27412280701754377,0.09322936387731919,2.3431338454376163,7,0.29,1.6401936918063313
2024-07-05,0.3556797020484172,0.41742119382964443,0.4736842105263157,0.05301022340022716,2.3674476722532587,7,0.29,1.657213370577281
2024-07-06,0.4413407821229052,0.3081824279007377,0.23135964912280693,0.07832418275905588,2.3788748603351957,7,0.29,1.6652124022346368
2024-07-07,0.23696461824953455,0.4502850435949027,0.5307017543859648,0.06388836299381544,2.3516110800744876,7,0.29,1.6461277560521412
2024-07-08,0.12267225325884552,0.7095908786049631,0.6469298245614034,0.0778745424712861,2.3363644785847297,7,0.29,1.6354551350093107
2024-07-09,0.34217877094972077,0.7380114017437961,0.5021929824561403,0.0858655181118263,2.3656466480446925,7,0.29,1.6559526536312847
2024-07-10,0.29678770949720684,0.5192823608316566,0.5164473684210525,0.07983087214438973,2.359591480446927,7,0.29,1.6517140363128489
2024-07-11,0.6105679702048418,0.31723675385647215,0.20285087719298237,0.11140429761453992,2.401449767225326,7,0.29,1.681014837057728
2024-07-12,0.4248137802607077,0.09884305835010049,0.5449561403508771,0.10359081156127725,2.3766701582867786,7,0.29,1.6636691108007449
2024-07-13,0.36080074487895725,0.30902079141515754,0.16008771929824553,0.1018435251798561,2.3681308193668524,7,0.29,1.6576915735567965
2024-07-14,0.3687150837988828,0.6755533199195171,0.6162280701754385,0.09041713997223272,2.3691865921787705,7,0.29,1.6584306145251393
2024-07-15,0.6138268156424583,0.8483400402414487,0.23135964912280693,0.13989729269216203,2.4018844972067037,7,0.29,1.6813191480446925
2024-07-16,0.8289106145251398,0.7729711602951039,0.5663377192982455,0.14393616685598887,2.4305766759776537,7,0.29,1.7014036731843576
2024-07-17,0.6287243947858474,0.3402917505030181,0.20285087719298237,0.09222358954941308,2.403871834264432,7,0.29,1.6827102839851023
