Datetime,Avg_Temperature,Avg_Humidity,Avg_Soil_Moisture,Light
2024-06-10 00:00:00,0.46368715083798895,0.5995975855130785,0.644736842105263,0.0
2024-06-10 01:00:00,0.46927374301675995,0.5995975855130785,0.644736842105263,9.46611132146914e-05
2024-06-10 02:00:00,0.4916201117318437,0.6096579476861167,0.644736842105263,0.0
2024-06-10 03:00:00,0.5083798882681565,0.5935613682092556,0.4736842105263157,0.0
2024-06-10 04:00:00,0.5083798882681565,0.5653923541247484,0.4736842105263157,0.0
2024-06-10 05:00:00,0.5195530726256985,0.545271629778672,0.4736842105263157,0.0
2024-06-10 06:00:00,0.5139664804469275,0.5593561368209256,0.4736842105263157,0.0007572889057175312
2024-06-10 07:00:00,0.5418994413407823,0.5533199195171027,0.4736842105263157,0.02432790609617569
2024-06-10 08:00:00,0.5363128491620113,0.5613682092555331,0.644736842105263,0.0671147292692162
2024-06-10 09:00:00,0.547486033519553,0.5694164989939637,0.644736842105263,0.08888678530859523
2024-06-10 10:00:00,0.5418994413407823,0.5633802816901409,0.644736842105263,0.0814085573646346
2024-06-10 11:00:00,0.5418994413407823,0.5714285714285713,0.644736842105263,0.12495266944339264
2024-06-10 12:00:00,0.5307262569832403,0.557344064386318,0.644736842105263,0.1298750473305566
2024-06-10 13:00:00,0.547486033519553,0.5653923541247484,0.644736842105263,0.32535024611889435
2024-06-10 14:00:00,0.547486033519553,0.5875251509054328,0.644736842105263,0.2750851950018932
2024-06-10 15:00:00,0.5418994413407823,0.6036217303822938,0.644736842105263,0.22718667171525936
2024-06-10 16:00:00,0.5530726256983243,0.6036217303822938,0.4736842105263157,0.13820522529344945
2024-06-10 17:00:00,0.5307262569832403,0.6197183098591549,0.644736842105263,0.0352139341158652
2024-06-10 18:00:00,0.5530726256983243,0.6197183098591549,0.644736842105263,0.0008519500189322226
2024-06-10 19:00:00,0.5195530726256985,0.6116700201207242,0.4736842105263157,9.46611132146914e-05
2024-06-10 20:00:00,0.5307262569832403,0.613682092555332,0.4736842105263157,0.0
2024-06-10 21:00:00,0.547486033519553,0.6277665995975855,0.4736842105263157,0.0
2024-06-10 22:00:00,0.5530726256983243,0.6277665995975855,0.4736842105263157,0.0
2024-06-10 23:00:00,0.5418994413407823,0.613682092555332,0.4736842105263157,0.0
2024-06-11 00:00:00,0.5251396648044695,0.6056338028169014,0.13157894736842102,0.0
2024-06-11 01:00:00,0.5251396648044695,0.597585513078471,0.13157894736842102,0.0
2024-06-11 02:00:00,0.5251396648044695,0.5533199195171027,0.13157894736842102,0.0
2024-06-11 03:00:00,0.4916201117318437,0.545271629778672,0.13157894736842102,0.0
2024-06-11 04:00:00,0.4916201117318437,0.5231388329979879,0.13157894736842102,0.0
2024-06-11 05:00:00,0.4860335195530727,0.49295774647887336,0.13157894736842102,0.0
2024-06-11 06:00:00,0.4748603351955307,0.4627766599597586,0.30263157894736836,0.0
2024-06-11 07:00:00,0.45810055865921817,0.4325955734406438,0.30263157894736836,0.01277925028398334
2024-06-11 08:00:00,0.4413407821229052,0.41649899396378276,0.30263157894736836,0.09163195759182127
2024-06-11 09:00:00,0.44692737430167595,0.386317907444668,0.30263157894736836,0.1726618705035971
2024-06-11 10:00:00,0.4134078212290504,0.358148893360161,0.30263157894736836,0.24460431654676257
2024-06-11 11:00:00,0.3798882681564246,0.34205231388329993,0.30263157894736836,0.119935630443014
2024-06-11 12:00:00,0.36312849162011185,0.3279678068410462,0.30263157894736836,0.19424460431654675
2024-06-11 13:00:00,0.35195530726256985,0.3279678068410462,0.30263157894736836,0.270541461567588
2024-06-11 14:00:00,0.3407821229050281,0.34205231388329993,0.30263157894736836,0.30310488451344186
2024-06-11 15:00:00,0.3240223463687151,0.32595573440643866,0.30263157894736836,0.1541082923135176
2024-06-11 16:00:00,0.3072625698324023,0.3038229376257545,0.13157894736842102,0.06086709579704657
2024-06-11 17:00:00,0.2905027932960895,0.3038229376257545,0.13157894736842102,0.047141234380916316
2024-06-11 18:00:00,0.26256983240223475,0.2676056338028169,0.13157894736842102,0.003786444528587656
2024-06-11 19:00:00,0.22905027932960897,0.24547283702213274,0.13157894736842102,0.0
2024-06-11 20:00:00,0.2122905027932962,0.2293762575452717,0.13157894736842102,0.0
2024-06-11 21:00:00,0.2011173184357542,0.22132796780684105,0.13157894736842102,0.0
2024-06-11 22:00:00,0.20670391061452542,0.22132796780684105,0.13157894736842102,0.0
2024-06-11 23:00:00,0.2122905027932962,0.19919517102615691,0.13157894736842102,0.0
2024-06-12 00:00:00,0.2122905027932962,0.19315895372233383,0.4736842105263157,0.0
2024-06-12 01:00:00,0.2122905027932962,0.1710261569416499,0.4736842105263157,9.46611132146914e-05
2024-06-12 02:00:00,0.2122905027932962,0.1851106639839034,0.4736842105263157,0.0
2024-06-12 03:00:00,0.2178770949720672,0.1851106639839034,0.4736842105263157,9.46611132146914e-05
2024-06-12 04:00:00,0.20670391061452542,0.15492957746478864,0.4736842105263157,0.0
2024-06-12 05:00:00,0.20670391061452542,0.15492957746478864,0.4736842105263157,0.0
2024-06-12 06:00:00,0.2011173184357542,0.13078470824949695,0.4736842105263157,0.0006626277925028398
2024-06-12 07:00:00,0.1955307262569832,0.11670020120724345,0.644736842105263,0.01836425596365013
2024-06-12 08:00:00,0.2011173184357542,0.11670020120724345,0.644736842105263,0.03918970087088224
2024-06-12 09:00:00,0.22346368715083798,0.1006036217303824,0.644736842105263,0.050359712230215826
2024-06-12 10:00:00,0.23463687150837997,0.11468812877263568,0.644736842105263,0.06086709579704657
