,MAE,RMSE
Linear Regression,0.022088099410536292,0.02625482415386116
Random Forest Regression,0.023673828313159465,0.026564045961685625
Support Vector Regression,0.026610440978688095,0.03247967399874615
Gradient Boosting Regression,0.021241281306292437,0.024972653766521854
